id,edad,sexo,estado,Oxalis,Quercus,Cyp.bulb,Phaseolus,Insectos,Cyp.rizo,Commelina.dianthifolia,Euphorbia bilobata,time,covey,dist camino,ppanual17,tmedia17,altitud,lat,lon,hcrop,hland,gap
2014-104,J,Female,NM,9.7584,0,0,0,0,0,0,0,1420,6,251.86,462,7.054166541,2518,34.037969,-108.963777,0,0.798599543,Rocky Mountain Ponderosa Pine Woodland
2014-105,J,Male,NM,3.9632,0,0,0,0,0,0,0,1420,6,251.86,462,7.054166541,2518,34.037969,-108.963777,0,0.798599543,Rocky Mountain Ponderosa Pine Woodland
2016-133,A,Female,AZ,3.8238,0,0,0.6148,0.0514,0,0.0025,0.1085,1700,10,574.06,515,15.95416654,1527,31.375725,-110.530491,0.785803177,1.245915723,Madrean Encinal
2014-28,J,Female,NM,3.7076,0,0,0,0.79,0,0,0,1610,8,23.07,385,10.97916659,1952,33.176791,-107.735593,0.464731684,0.764465556,Colorado Plateau Pinyon-Juniper Woodland
2016-132,J,Male,AZ,2.2011,0,0.778,0.3908,0.0027,0.6988,0.7555,0.565,1600,8,236.76,521,16.13333316,1507,31.353053,-110.53106,1.680150426,1.541562488,Apacherian-Chihuahuan Mesquite Upland Scrub
2016-146,J,Female,AZ,1.9345,0,0,0.0459,0,0,0,0,1530,5,144.68,505,17.03750003,1306,31.375072,-110.777752,0.110158838,1.696755336,"Chihuahuan Creosotebush, Mixed Desert and Thorn Scrub"
2014-81,J,Male,NM,1.0984,0,1.3573,0,0.00009,0,0,0,1245,15,190.95,406,9.98749993,1993,33.289458,-108.061378,0.733283236,0.637185237,Rocky Mountain Ponderosa Pine Woodland
2015-21,J,Female,AZ,0.7669,0,0,0.0164,0.03,0,0,0,1215,12,26.67,504,15.67500008,1546,31.445738,-110.542863,0.308836206,1.596709029,"Chihuahuan Creosotebush, Mixed Desert and Thorn Scrub"
2015-20,J,Male,AZ,0.5227,0,0,0,0,0,0,0,1130,8,26.67,504,15.67500008,1546,31.444386,-110.543406,0.820472477,1.604739743,North American Warm Desert Wash
2014-79,J,Female,NM,0.4199,0,0.7465,0,0.05,0,0,0,1245,15,190.95,406,9.98749993,1993,33.289458,-108.061378,1.152709935,0.637185237,Rocky Mountain Ponderosa Pine Woodland
2016-131,J,Male,AZ,0.3736,0,0.8187,0.2561,0.0087,1.0151,0.0589,0.963,1600,8,236.76,521,16.13333316,1507,31.353053,-110.53106,1.57483825,1.541562488,Apacherian-Chihuahuan Mesquite Upland Scrub
2016-173,NA,Male,AZ,0.2532,0,0.0402,0,0,1.3307,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.558051299,NA,NA
2016-171,NA,Female,AZ,0.2531,2.3085,0.4103,0.1158,0.4573,0.1426,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1.378613594,NA,NA
2016-134,J,Male,AZ,0.2348,0,0,0,0,0.0284,0,0,1145,10,67.3,546,15.7916667,1481,31.386863,-110.749311,0.52304768,1.665194282,Madrean Encinal
2016-143,J,Male,AZ,0.2064,0,0.0785,0,0,0,0,0,930,10,191.66,537,16.04583315,1408,31.387029,-110.758167,1.169064552,1.684404447,Madrean Encinal
2016-162,J,Male,AZ,0.202,0,0,1.4711,0.0158,0,0,0,1300,12,248.39,595,14.42083335,1746,31.709155,-110.795686,0.894717749,1.014570747,Madrean Pinyon-Juniper Woodland
2016-151,A,Male,AZ,0.1821,0.3616,0.047,0.5079,0,0,0.0071,0.0042,1300,NA,293.82,620,14.30416672,1856,31.411848,-110.745665,1.238467695,1.077713295,Madrean Pinyon-Juniper Woodland
2016-194,NA,Female,AZ,0.1722,0,0,0,0.0052,0.8182,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.969494782,NA,NA
2016-152,J,Male,AZ,0.1617,,0.5961,0,0.0234,0,0,0.0366,1500,NA,57.94,482,17,1226,31.380497,-111.072099,1.84107562,1.067677296,Madrean Encinal
2016-176,NA,NA,AZ,0.1369,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1.387987836,NA,NA
2016-251,NA,NA,AZ,0.1004,0.1916,0,0.0156,0.0019,0,0.0155,0,NA,NA,NA,NA,NA,NA,NA,NA,1.380497784,NA,NA
2016-168,NA,Male,AZ,0.0802,2.8766,0.4749,0.0916,1.2843,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1.21343054,NA,NA
2016-246,NA,Female,AZ,0.0706,2.7829,0.0499,0.0129,0.1355,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.519684894,NA,NA
2016-245,NA,NA,AZ,0.064,2.0037,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.138036915,NA,NA
2016-145,A,Male,AZ,0.0575,0,1.509,0.5469,0,0.8088,0,0,1500,10,23.14,505,17.11250008,1308,31.370265,-110.776138,1.181408006,1.621506354,"Chihuahuan Creosotebush, Mixed Desert and Thorn Scrub"
2016-135,J,male,AZ,0.0569,0,0,0,0,0.6006,0,0,1145,10,67.3,546,15.7916667,1481,31.386863,-110.749311,0.334802593,1.665194282,Madrean Encinal
2015-19,J,Male,AZ,0.0515,0.4251,0,0,0,0,0,0,1130,8,26.67,504,15.67500008,1546,31.444386,-110.543406,0,1.604739743,North American Warm Desert Wash
2016-169,NA,Male,AZ,0.0409,1.7618,0,0.0644,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.482373263,NA,NA
2016-230,NA,Male,AZ,0.0409,0,0,0,0,0,0.1481,0.0589,NA,NA,NA,NA,NA,NA,NA,NA,1.211547454,NA,NA
2016-121,A,Male,AZ,0.0223,0,0,0,0,0.2981,0,0,1245,NA,111.82,520,15.5375,1558,31.484718,-110.602862,0.902849974,1.395862941,Apacherian-Chihuahuan Mesquite Upland Scrub
2016-158,J,Male,AZ,0.0221,0,0,0.3428,0,0,0,0.2272,1600,7,204.37,476,17.28750016,1206,31.366398,-110.99683,1.879824705,0.981917001,Madrean Encinal
2016-255,NA,NA,AZ,0.0209,1.6459,0,0.0579,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.391974474,NA,NA
2016-200,NA,Male,AZ,0,4.3821,0,0,0,0,0.2262,0,NA,NA,NA,NA,NA,NA,NA,NA,0.204625672,NA,NA
2016-174,NA,NA,AZ,0,3.9318,0,0.0095,0.0703,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.339572862,NA,NA
2016-195,NA,Male,AZ,0,3.6704,0,0.0206,0,0,0.0345,0,NA,NA,NA,NA,NA,NA,NA,NA,0.130355726,NA,NA
2016-214,NA,Male,AZ,0,3.6678,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.00524834,NA,NA
2016-126,J,Female,AZ,0,3.6208,0,0.1127,0,0,0,0,1230,9,271.02,605,14.41666657,1777,31.41536,-110.734422,0.205581202,0.934580968,Madrean Pinyon-Juniper Woodland
2016-218,NA,Male,AZ,0,3.6155,0,0.0863,0.6609,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.705359057,NA,NA
2016-164,J,Male,AZ,0,3.5921,0,0.4864,0.0651,0,0,0.0077,1700,NA,278.67,551,15.78750026,1572,31.759081,-110.727349,0.727370884,0.942510655,Apacherian-Chihuahuan Piedmont Semi-Desert Grassland and Steppe
2015-50,J,Male,NM,0,3.5302,0,0,0.97,0,0,0,1545,1,204.52,508,11.68333335,2134,32.903387,-105.505935,0.598538439,1.347755207,Rocky Mountain Gambel Oak-Mixed Montane Shrubland
2016-114,J,Male,AZ,0,3.3141,0,0,0.00001,0,0.26,0,1500,NA,85.38,525,15.37083332,1608,31.502858,-110.585248,0.269869151,1.363820133,Mogollon Chaparral
2014-78,J,Female,AZ,0,3.2198,0,0.2639,0.00009,0.3425,0,0.0474,NA,NA,NA,NA,NA,NA,NA,NA,0.605293372,NA,NA
2016-252,NA,NA,AZ,0,3.008,0,0,0.0186,0,0.0098,0,NA,NA,NA,NA,NA,NA,NA,NA,0.079774458,NA,NA
2016-215,NA,NA,AZ,0,2.8706,0,0.0151,0.015,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.18351134,NA,NA
2016-125,J,Male,AZ,0,2.8196,0,0.2127,0.0016,1.8469,0.0085,0.0066,1600,NA,43.47,518,15.57916671,1542,31.480749,-110.607803,0.000143903,1.416778979,Apacherian-Chihuahuan Piedmont Semi-Desert Grassland and Steppe
2016-180,NA,Female,AZ,0,2.7436,0,0.0875,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.26371781,NA,NA
2016-189,NA,Male,AZ,0,2.5905,0,0,0.0359,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.09266725,NA,NA
2016-185,NA,Male,AZ,0,2.5874,0.2969,0.1428,2.5596,0.0384,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1.409816863,NA,NA
2016-186,NA,NA,AZ,0,2.2704,0,0,0.1316,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.959797432,NA,NA
2016-112,J,Male,Az,0,2.2135,0,0,0,1.5152,0.2668,0,1500,NA,85.38,525,15.37083332,1608,31.502858,-110.585248,0.875615956,1.363820133,Mogollon Chaparral
2016-175,NA,Male,AZ,0,2.1119,,0.0539,0.5091,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.973281664,NA,NA
2016-207,NA,NA,AZ,0,2.097,0,0,0.0632,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.550227957,NA,NA
2015-52,J,Male,NM,0,2.0487,0,0,0.07,0.3488,0,0,1520,10,25.21,373,12.72916666,1901,32.854051,-107.65178,0.782133757,0.868275775,Madrean Pinyon-Juniper Woodland
2016-206,NA,NA,AZ,0,1.9758,0,0.4305,0.2654,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1.254901781,NA,NA
2016-113,J,Male,AZ,0,1.8674,0,0,0,0.0889,0.2135,0,1500,NA,85.38,525,15.37083332,1608,31.502858,-110.585248,0.48822596,1.363820133,Mogollon Chaparral
2016-172,NA,Female,AZ,0,1.8201,,0.1442,0.5257,0.0532,0.0202,0,NA,NA,NA,NA,NA,NA,NA,NA,0.924681199,NA,NA
2015-55,J,Female,AZ,0,1.7465,0,0,0,0,0,0,1305,6,161.8,559,15.68750011,1597,31.784134,-110.750951,0.250973455,0.859763122,Apacherian-Chihuahuan Piedmont Semi-Desert Grassland and Steppe
2016-242,NA,NA,AZ,0,1.7298,0.2041,0.0515,0.0078,0,0.0127,0,NA,NA,NA,NA,NA,NA,NA,NA,0.882340824,NA,NA
2016-187,NA,Male,AZ,0,1.7093,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.615614781,NA,NA
2016-209,NA,NA,AZ,0,1.631,0,0.4811,0.0052,0,0.0043,0,NA,NA,NA,NA,NA,NA,NA,NA,1.063480392,NA,NA
2016-177,NA,Male,AZ,0,1.4837,0,0,0.0152,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.056647393,NA,NA
2016-256,NA,NA,AZ,0,1.4604,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.053044223,NA,NA
2016-163,J,Male,AZ,0,1.4075,0,0,0.0686,0.2099,0,0.0063,1600,6,222.73,551,15.78750026,1572,31.760484,-110.725406,0.805845825,0.961668314,Apacherian-Chihuahuan Mesquite Upland Scrub
2015-7,J,Male,NM,0,1.2879,0,0,0.25,0,0,0,1545,12,55.79,291,12.1416666,1817,33.712117,-107.302924,0.966908596,0.730961818,Apacherian-Chihuahuan Piedmont Semi-Desert Grassland and Steppe
2016-208,NA,NA,AZ,0,1.2877,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.351916882,NA,NA
2015-49,A,Male,NM,0,1.2612,0,0,0.32,0,0,0,1315,1,189.52,508,11.68333335,2093,32.902179,-105.503672,1.187061924,1.348812969,Rocky Mountain Gambel Oak-Mixed Montane Shrubland
2014-77,J,Male,AZ,0,1.2544,0,0,0.05,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.16260579,NA,NA
2016-179,NA,Male,AZ,0,1.2512,0,0.0516,0.0632,0.1526,0.0126,0,NA,NA,NA,NA,NA,NA,NA,NA,1.050381068,NA,NA
2015-22,J,Male,AZ,0,1.2481,0,0,0.12,0.0356,0.0321,0,1130,12,223.21,557,15.77916652,1591,31.791366,-110.748967,0.432456649,0.786193853,Apacherian-Chihuahuan Piedmont Semi-Desert Grassland and Steppe
2016-124,A,Male,AZ,0,1.1597,0,0.4147,0,1.6483,0,0,1600,NA,43.47,518,15.57916671,1542,31.480749,-110.607803,1.201160324,1.416778979,Apacherian-Chihuahuan Piedmont Semi-Desert Grassland and Steppe
2015-54,J,Male,AZ,0,1.1419,0,0,0,0,0.039,0,1305,6,161.8,559,15.68750011,1597,31.784134,-110.750951,1.473759884,0.859763122,Apacherian-Chihuahuan Piedmont Semi-Desert Grassland and Steppe
2016-210,NA,NA,AZ,0,1.1058,0,0,0.0323,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.31730691,NA,NA
2016-188,NA,NA,AZ,0,1.1018,0,0,0.0285,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.477221927,NA,NA
2016-244,NA,Female,AZ,0,1.0677,0,0,0.069,1.006,0.0144,0,NA,NA,NA,NA,NA,NA,NA,NA,1.177907602,NA,NA
2016-170,NA,Male,AZ,0,1.0257,0,0.0854,2.28,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.763730593,NA,NA
2015-8,J,Male,NM,0,0.9541,0,0,0.00009,0,0,0,1545,12,55.79,291,12.1416666,1817,33.712117,-107.302924,0.79984246,0.730961818,Apacherian-Chihuahuan Piedmont Semi-Desert Grassland and Steppe
2016-250,NA,NA,AZ,0,0.9458,0,0,0.1025,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.441943343,NA,NA
2015-14,J,Male,AZ,0,0.9437,0,0,0.62,1.0349,0,0,1030,8,49.79,506,15.71666638,1530,31.4416,-110.548871,0.202936384,1.526532568,Madrean Encinal
2016-153,A,Female,AZ,0,0.8828,0,0.0441,0.1226,0,0.0065,0,1400,3,12.36,531,16.13333331,1504,31.747172,-110.701652,0.579030122,1.223744838,Apacherian-Chihuahuan Piedmont Semi-Desert Grassland and Steppe
2016-122,A,Male,AZ,0,0.8823,0,0.7709,0.4965,1.1441,0.3259,0.0785,1600,NA,43.47,518,15.57916671,1542,31.480749,-110.607803,2.053078872,1.416778979,Apacherian-Chihuahuan Piedmont Semi-Desert Grassland and Steppe
2015-9,J,Male,NM,0,0.8789,0,0,0.17,0.514,0,0,1545,12,55.79,291,12.1416666,1817,33.712117,-107.302924,1.286208239,0.730961818,Apacherian-Chihuahuan Piedmont Semi-Desert Grassland and Steppe
2016-196,NA,Male,AZ,0,0.8203,0,0.1101,0.1958,0,0.0092,0,NA,NA,NA,NA,NA,NA,NA,NA,1.141483313,NA,NA
2016-201,NA,NA,AZ,0,0.782,0.1029,0.1686,0,0,0.007,0.0061,NA,NA,NA,NA,NA,NA,NA,NA,0.836128671,NA,NA
2016-237,NA,Female,AZ,0,0.7608,0,0,0.7717,2.7897,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1.015056402,NA,NA
2016-221,NA,NA,AZ,0,0.6117,0,0,0.0827,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.500015577,NA,NA
2016-220,NA,Female,AZ,0,0.6046,0,0,0.0291,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.903810641,NA,NA
2016-216,NA,Male,AZ,0,0.5605,0,0.019,0.2053,0.157,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.815951402,NA,NA
2015-23,J,Male,AZ,0,0.5136,0,0.0569,0.07,0,0.0485,0,1130,12,223.21,557,15.77916652,1591,31.791366,-110.748967,0.505860619,0.786193853,Apacherian-Chihuahuan Piedmont Semi-Desert Grassland and Steppe
2016-238,NA,NA,AZ,0,0.452,0,0,0,0.3245,0.008,0,NA,NA,NA,NA,NA,NA,NA,NA,1.714044499,NA,NA
2016-213,NA,Female,AZ,0,0.3994,0,0,0.1954,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.515808207,NA,NA
2016-138,J,Female,AZ,0,0.3733,0,0,0,0.0519,0,0,1600,8,42.51,545,15.07500002,1587,31.422294,-110.652616,0.76615608,1.122458915,Madrean Pinyon-Juniper Woodland
2016-123,A,Female,AZ,0,0.3204,0,0.1104,1.14981,0.0848,0.2718,0,1600,NA,7.49,518,15.57916671,1542,31.479651,-110.60579,1.92092746,1.46197745,Apacherian-Chihuahuan Mesquite Upland Scrub
2016-219,NA,Female,AZ,0,0.3079,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.689930968,NA,NA
2016-109,J,Male,AZ,0,0.3037,0,0.8553,0,0.4098,0,0.0251,1000,NA,108.04,528,15.47500012,1578,31.488971,-110.611033,1.195382845,1.391935879,Apacherian-Chihuahuan Piedmont Semi-Desert Grassland and Steppe
2015-53,J,Female,NM,0,0.2898,0,0,0.17,0.1581,0,0,1520,10,25.21,373,12.72916666,1901,32.854051,-107.65178,0.532054651,0.868275775,Madrean Pinyon-Juniper Woodland
2016-159,A,Female,AZ,0,0.2765,0,0.2518,0,0,0,0.2219,1700,6,7.96,476,17.31250004,1207,31.368291,-110.994441,1.775771474,0.989926738,Madrean Encinal
2016-197,NA,Female,AZ,0,0.2558,0,0.0425,0,0,0.0513,0,NA,NA,NA,NA,NA,NA,NA,NA,1.279382227,NA,NA
2016-202,NA,NA,AZ,0,0.2551,0.4248,0.218,0,0.3949,0.3731,0.0977,NA,NA,NA,NA,NA,NA,NA,NA,2.159700184,NA,NA
2016-235,NA,Female,AZ,0,0.2261,0,0,0.0006,0.4325,0.0069,0,1600,NA,NA,NA,NA,NA,NA,NA,1.052337975,NA,NA
2016-203,NA,Male,AZ,0,0.2169,0.8242,0.3301,0,0.6923,0.0283,0,NA,NA,NA,NA,NA,NA,NA,NA,1.361887387,NA,NA
2016-183,NA,Male,AZ,0,0.1953,0,0.1503,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.894985665,NA,NA
2016-204,NA,NA,AZ,0,0.1816,0.1229,0.1649,0,0.1292,0.0924,0.041,NA,NA,NA,NA,NA,NA,NA,NA,2.318524711,NA,NA
2016-184,NA,Male,AZ,0,0.1374,0,0.1325,0.1065,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.881310513,NA,NA
2015-51,J,Male,NM,0,0.1264,0,0,0.34,1.3494,0,0,1520,10,25.21,373,12.72916666,1901,32.854051,-107.65178,0.521212566,0.868275775,Madrean Pinyon-Juniper Woodland
2015-26,J,Male,NM,0,0.1262,0,0,0,0,0,0,1315,6,142.51,455,12.89583324,1916,32.7417,-105.354701,0.691270969,1.256741075,Madrean Pinyon-Juniper Woodland
2015-17,J,Male,AZ,0,0.1133,0,0,0,0.0334,0,0,915,7,50.52,503,15.72083351,1510,31.450843,-110.557762,0,1.479697054,Apacherian-Chihuahuan Mesquite Upland Scrub
2016-239,NA,NA,AZ,0,0.0977,0,0,0.0336,0.7118,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.855192085,NA,NA
2016-111,A,Male,AZ,0,0.0775,0,0,0,0.2528,0.1318,0,1000,NA,108.04,528,15.47500012,1578,31.488971,-110.611033,1.278840247,1.391935879,Apacherian-Chihuahuan Piedmont Semi-Desert Grassland and Steppe
2016-156,A,Male,AZ,0,0.0739,0,1.2447,0,0,0,0.0904,1530,5,313.92,485,17.21666679,1239,31.369858,-111.000554,0.923424666,0.914529011,Madrean Encinal
2016-181,NA,Female,AZ,0,0.0718,0.2481,0,0.0815,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1.381647224,NA,NA
2015-62,A,Male,NM,0,0.0718,0,5.0018,0,0,0,0,1430,8,763.38,332,14.22499999,1560,32.592245,-107.930243,0.154973195,0.761438593,Madrean Pinyon-Juniper Woodland
2015-45,J,Male,NM,0,0.0666,0.089,0,0.00009,0.2523,0,0,1205,3,113.61,416,14.35416671,1688,31.517713,-108.976493,0.615554029,1.062503693,Apacherian-Chihuahuan Piedmont Semi-Desert Grassland and Steppe
2016-228,J,Male,AZ,0,0.0537,0,0.105,0.0671,0.1848,0.0047,0,NA,NA,NA,NA,NA,NA,NA,NA,1.893559097,NA,NA
2016-227,NA,NA,AZ,0,0.0217,0,1.2915,0,0,0,0.1302,NA,NA,NA,NA,NA,NA,NA,NA,1.139785049,NA,NA
